fighter_1,fighter_2,fighter_1_odds,fighter_2_odds,winner,win_method,match_date,weight_class,match_duration_minutes
Akhmedov O.,Cummings Z.,1.81,1.99,Akhmedov O.,Decision,2019-09-07,middleweight-ufc-men,14.5
Park J. Y.,Hernandez A.,2.25,1.66,Hernandez A.,Submission,2019-08-31,middleweight-ufc-men,9.5
Romero Y.,Costa P. H.,1.67,2.24,Costa P. H.,Decision,2019-08-18,middleweight-ufc-men,3.0
Vieira R.,Piechota O.,1.45,2.77,Vieira R.,Submission,2019-08-11,middleweight-ufc-men,0.5
Giles T.,Meerschaert G.,1.57,2.45,Meerschaert G.,Submission,2019-08-03,middleweight-ufc-men,20.0
Barriault M.,Jotko K.,2.44,1.58,Jotko K.,Decision,2019-07-28,middleweight-ufc-men,2.0
Roberson K.,Turman W.,1.47,2.71,Roberson K.,Decision,2019-07-14,middleweight-ufc-men,0.5
Roberson K.,Phillips J.,0.0,0.0,canc.,Cancelled,2019-07-13,middleweight-ufc-men,21.0
Shahbazyan E.,Marshman J.,1.16,5.37,Shahbazyan E.,Submission,2019-07-06,middleweight-ufc-men,23.25
Winn D.,Perez Echeimberg M.,0.0,0.0,canc.,Cancelled,2019-06-23,middleweight-ufc-men,1.0
Holland K.,Di Chirico A.,1.45,2.78,Holland K.,Decision,2019-06-22,middleweight-ufc-men,23.0
Lewis B.,Stewart D.,1.57,2.44,Stewart D.,Decision,2019-06-08,middleweight-ufc-men,22.75
Carlos Junior A.,Heinisch I.,1.57,2.4,Heinisch I.,Decision,2019-05-19,middleweight-ufc-men,1.0
Cummings Z.,Giles T.,2.41,1.57,Cummings Z.,Submission,2019-05-18,middleweight-ufc-men,21.25
Cannonier J.,Silva A.,1.85,1.98,Cannonier J.,Technical Knockout,2019-05-12,middleweight-ufc-men,3.5
Brunson D.,Theodorou E.,1.93,1.87,Brunson D.,Decision,2019-05-05,middleweight-ufc-men,2.0
Souza R.,Hermansson J.,1.46,2.78,Hermansson J.,Decision,2019-04-28,middleweight-ufc-men,3.5
Fabinski B.,Muniz A.,1.66,2.21,Muniz A.,Submission,2020-09-05,middleweight-ufc-men,23.0
Pitolo M.,Kasanganay I.,2.22,1.66,Kasanganay I.,Decision,2020-08-30,middleweight-ufc-men,0.5
Cummings Z.,Di Chirico A.,2.11,1.73,Cummings Z.,Decision,2020-08-29,middleweight-ufc-men,23.5
Romero Y.,Hall U.,0.0,0.0,canc.,Cancelled,2020-08-22,middleweight-ufc-men,23.0
Whittaker R.,Till D.,0.0,0.0,canc.,Cancelled,2020-08-15,middleweight-ufc-men,23.0
Akhmedov O.,Weidman C.,2.22,1.67,Weidman C.,Decision,2020-08-09,middleweight-ufc-men,2.5
Holland K.,Buckley J.,1.21,4.49,Holland K.,Technical Knockout,2020-08-09,middleweight-ufc-men,0.0
Sanchez A.,Turman W.,2.16,1.7,Sanchez A.,Knockout,2020-08-08,middleweight-ufc-men,23.0
Brunson D.,Shahbazyan E.,3.87,1.26,Brunson D.,Technical Knockout,2020-08-02,middleweight-ufc-men,3.0
Giles T.,Park J. Y.,0.0,0.0,canc.,Cancelled,2020-08-01,middleweight-ufc-men,23.0
Whittaker R.,Till D.,1.73,2.14,Whittaker R.,Decision,2020-07-26,middleweight-ufc-men,3.0
Hermansson J.,Gastelum K.,1.9,1.91,Hermansson J.,Submission,2020-07-19,middleweight-ufc-men,1.5
Phillips J.,Chimaev K.,4.5,1.21,Chimaev K.,Submission,2020-07-16,middleweight-ufc-men,1.5
Allen B.,Daukaus K.,1.32,3.37,Allen B.,Decision,2020-06-28,middleweight-ufc-men,1.0
Heinisch I.,Allen B.,0.0,0.0,canc.,Cancelled,2020-06-27,middleweight-ufc-men,21.0
Barriault M.,Piechota O.,1.8,2.01,Barriault M.,Technical Knockout,2020-06-20,middleweight-ufc-men,22.5
Roberson K.,Vettori M.,2.8,1.46,Vettori M.,Submission,2020-06-14,middleweight-ufc-men,2.5
Heinisch I.,Meerschaert G.,1.73,2.13,Heinisch I.,Technical Knockout,2020-06-07,middleweight-ufc-men,1.0
Anders E.,Jotko K.,2.11,1.74,Jotko K.,Decision,2020-05-17,middleweight-ufc-men,1.5
Soriano P.,Hernandez A.,0.0,0.0,canc.,Cancelled,2020-05-16,middleweight-ufc-men,21.0
Roberson K.,Vettori M.,2.62,1.52,canc.,Cancelled,2020-05-14,middleweight-ufc-men,1.0
Hall U.,Souza R.,0.0,0.0,canc.,Cancelled,2020-05-10,middleweight-ufc-men,0.0
Weidman C.,Hermansson J.,0.0,0.0,canc.,Cancelled,2020-05-02,middleweight-ufc-men,21.0
Cummings Z.,Sanchez A.,0.0,0.0,canc.,Cancelled,2020-04-25,middleweight-ufc-men,21.0
Muradov M.,Roberson K.,0.0,0.0,canc.,Cancelled,2020-04-19,middleweight-ufc-men,2.0
Brunson D.,Shahbazyan E.,2.82,1.42,postp.,Postponed,2020-04-11,middleweight-ufc-men,21.0
Soriano P.,Spicely E.,0.0,0.0,canc.,Cancelled,2020-03-28,middleweight-ufc-men,22.0
Holland K.,Marshman J.,0.0,0.0,postp.,Postponed,2020-03-21,middleweight-ufc-men,18.0
Stewart D.,Vettori M.,0.0,0.0,postp.,Postponed,2020-03-21,middleweight-ufc-men,18.0
Tavares B.,Carlos Junior A.,0.0,0.0,canc.,Cancelled,2020-03-14,middleweight-ufc-men,22.0
Adesanya I.,Romero Y.,1.33,3.27,Adesanya I.,Decision,2020-03-08,middleweight-ufc-men,5.0
Winn D.,Meerschaert G.,1.74,2.1,Meerschaert G.,Submission,2020-03-08,middleweight-ufc-men,1.0
Brunson D.,Shahbazyan E.,0.0,0.0,canc.,Cancelled,2020-03-07,middleweight-ufc-men,22.0
Allen B.,Breese T.,2.22,1.66,Allen B.,Technical Knockout,2020-03-01,middleweight-ufc-men,0.0
Giles T.,Arroyo A.,0.0,0.0,canc.,Cancelled,2020-02-09,middleweight-ufc-men,2.5
Lewis B.,Townsend D.,1.24,3.99,Lewis B.,Decision,2020-01-26,middleweight-ufc-men,0.5
Edwards L.,Usman K.,3.18,1.36,Usman K.,Decision,2015-12-19,welterweight-ufc-men,20.5
Maia D.,Nelson G.,2.02,1.8,Maia D.,Decision,2015-12-13,welterweight-ufc-men,3.0
McGee C.,Junior M. A.,1.56,2.43,McGee C.,Decision,2015-12-12,welterweight-ufc-men,23.0
LaFlare R.,Pierce M.,1.44,2.83,LaFlare R.,Decision,2015-12-11,welterweight-ufc-men,23.0
Akhmedov O.,Moraes S.,1.71,2.14,Moraes S.,Technical Knockout,2015-12-10,welterweight-ufc-men,23.75
Ponzinibbio S.,Stahl A.,1.52,2.55,Ponzinibbio S.,Technical Knockout,2015-12-10,welterweight-ufc-men,23.75
Kim D. H.,Waters D.,0.0,0.0,KO,Knockout,2015-11-28,welterweight-ufc-men,20.0
Henderson B.,Masvidal J.,1.41,2.91,Henderson B.,Decision,2015-11-28,welterweight-ufc-men,13.0
Magny N.,Gastelum K.,3.36,1.32,Magny N.,Decision,2015-11-22,welterweight-ufc-men,3.0
Ramos V.,Herrera A.,1.57,2.37,Herrera A.,Knockout,2015-11-22,welterweight-ufc-men,0.0
Noke K.,Sobotta P.,2.81,1.43,Noke K.,Technical Knockout,2015-11-15,welterweight-ufc-men,1.0
Walsh R.,Kennedy S.,1.26,3.79,Walsh R.,Decision,2015-11-14,welterweight-ufc-men,23.25
Andrade V.,Umalatov G.,2.05,1.75,Andrade V.,Decision,2015-11-07,welterweight-ufc-men,23.5
Dalby N.,Till D.,1.97,1.78,Draw,Draw,2015-10-24,welterweight-ufc-men,20.0
Hendricks J.,Woodley T.,0.0,0.0,canc.,Cancelled,2015-10-03,welterweight-ufc-men,23.0
Anzai S.,Zapata R.,1.85,1.92,Anzai S.,Technical Knockout,2015-09-27,welterweight-ufc-men,0.0
Aubin-Mercier O.,Sims T.,1.41,2.84,Aubin-Mercier O.,Decision,2015-08-24,welterweight-ufc-men,1.0
Magny N.,Silva E.,2.51,1.51,Magny N.,Decision,2015-08-24,welterweight-ufc-men,1.0
Alves W.,Taleb N.,1.35,3.16,Alves W.,Technical Knockout,2015-08-02,welterweight-ufc-men,0.0
Kim D. H.,Saffiedine T.,1.67,2.19,Kim D. H.,Decision,2016-12-31,welterweight-ufc-men,3.0
Pyle M.,Garcia A.,2.58,1.5,Garcia A.,Knockout,2016-12-31,welterweight-ufc-men,1.0
Oliveira A.,Means T.,1.68,2.17,Draw,Draw,2016-12-31,welterweight-ufc-men,0.5
Jouban A.,Perry M.,2.15,1.7,Jouban A.,Decision,2016-12-18,welterweight-ufc-men,1.0
Barberena B.,Covington C.,3.88,1.26,Covington C.,Decision,2016-12-17,welterweight-ufc-men,23.0
Velickovic B.,Aliev S.,0.0,0.0,PTS,Decision,2016-12-17,welterweight-ufc-men,21.5
Cerrone D.,Brown M.,1.32,3.36,Cerrone D.,Knockout,2016-12-11,welterweight-ufc-men,3.0
Brown R.,Camozzi B.,1.59,2.34,Brown R.,Technical Knockout,2016-12-09,welterweight-ufc-men,22.5
Ellenberger J.,Masvidal J.,2.84,1.43,Masvidal J.,Technical Knockout,2016-12-04,welterweight-ufc-men,3.0
Noke K.,Akhmedov O.,2.06,1.77,Akhmedov O.,Decision,2016-11-27,welterweight-ufc-men,3.0
Alves W.,Usman K.,2.62,1.49,Usman K.,Decision,2016-11-20,welterweight-ufc-men,2.0
Cummings Z.,Yakovlev A.,1.58,2.38,Cummings Z.,Submission,2016-11-19,welterweight-ufc-men,17.25
Woodley T.,Thompson S.,2.92,1.46,Draw,Draw,2016-11-13,welterweight-ufc-men,5.5
Luque V.,Muhammad B.,1.85,1.96,Luque V.,Knockout,2016-11-13,welterweight-ufc-men,1.0
Montano E.,Griffin M.,2.15,1.7,Griffin M.,Technical Knockout,2016-11-06,welterweight-ufc-men,0.0
Edwards L.,Tumenov A.,2.96,1.4,Edwards L.,Submission,2016-10-09,welterweight-ufc-men,0.0
Roberts D.,Perry M.,1.86,1.94,Perry M.,Knockout,2016-10-08,welterweight-ufc-men,22.5
Burkman J.,Ottow Z.,1.4,2.98,Ottow Z.,Decision,2016-10-02,welterweight-ufc-men,3.0
Silva E.,Chagas L.,2.07,1.76,Silva E.,Decision,2016-09-25,welterweight-ufc-men,0.0
Luque V.,Urbina H.,1.18,4.93,Luque V.,Knockout,2016-09-24,welterweight-ufc-men,22.5
Carneiro R.,Robertson K.,2.04,1.8,Carneiro R.,Decision,2016-09-18,welterweight-ufc-men,2.0
Montano E.,Brown R.,4.77,1.19,Brown R.,Submission,2016-09-17,welterweight-ufc-men,23.0
Brooks P.,Gall M.,4.07,1.24,Gall M.,Submission,2016-09-11,welterweight-ufc-men,2.0
Ayari J.,Wallhead J.,2.15,1.69,Ayari J.,Decision,2016-09-03,welterweight-ufc-men,15.75
Maia D.,Condit C.,1.98,1.83,Maia D.,Submission,2016-08-28,welterweight-ufc-men,0.0
Diaz N.,McGregor C.,2.21,1.68,McGregor C.,Decision,2016-08-21,welterweight-ufc-men,2.0
Means T.,Homasi S.,1.24,4.15,Means T.,Knockout,2016-08-21,welterweight-ufc-men,2.0
Story R.,Cerrone D.,2.1,1.71,Cerrone D.,Knockout,2016-08-21,welterweight-ufc-men,2.0
Covington C.,Griffin M.,1.29,3.63,Covington C.,Technical Knockout,2016-08-20,welterweight-ufc-men,22.5
Ponzinibbio S.,Cummings Z.,1.79,2.05,Ponzinibbio S.,Decision,2016-08-07,welterweight-ufc-men,2.0
Brown M.,Ellenberger J.,1.33,3.34,Ellenberger J.,Technical Knockout,2016-07-31,welterweight-ufc-men,2.0
Pearson R.,Masvidal J.,3.06,1.39,Masvidal J.,Decision,2016-07-31,welterweight-ufc-men,0.0
Graves M.,Velickovic B.,1.42,2.9,Draw,Draw,2016-07-30,welterweight-ufc-men,23.0
Condit C.,Magny N.,1.69,2.19,Magny N.,Decision,2017-12-31,welterweight-ufc-men,3.0
Lawler R.,Dos Anjos R.,1.94,1.85,Dos Anjos R.,Decision,2017-12-17,welterweight-ufc-men,1.0
Laprise C.,Bofando G.,1.63,2.26,Laprise C.,Technical Knockout,2017-12-16,welterweight-ufc-men,22.0
Taleb N.,Roberts D.,1.66,2.19,Taleb N.,Knockout,2017-12-16,welterweight-ufc-men,21.0
Homasi S.,Alhassan R.,0.0,0.0,TKO,Technical Knockout,2017-12-03,welterweight-ufc-men,1.0
Salikhov M.,Garcia A.,1.45,2.76,Garcia A.,Submission,2017-11-25,welterweight-ufc-men,12.0
Matthews J.,Velickovic B.,1.67,2.18,Matthews J.,Decision,2017-11-19,welterweight-ufc-men,3.0
Brown D.,Camacho F.,2.13,1.72,Camacho F.,Decision,2017-11-19,welterweight-ufc-men,1.0
Brown M.,Sanchez D.,1.26,3.69,Brown M.,Knockout,2017-11-12,welterweight-ufc-men,3.0
McGee C.,Strickland S.,3.2,1.34,Strickland S.,Decision,2017-11-11,welterweight-ufc-men,23.5
Thompson S.,Masvidal J.,1.53,2.49,Thompson S.,Decision,2017-11-05,welterweight-ufc-men,2.0
Brown R.,Gall M.,1.96,1.84,Brown R.,Decision,2017-11-05,welterweight-ufc-men,0.0
Maia D.,Covington C.,2.05,1.77,Covington C.,Decision,2017-10-29,welterweight-ufc-men,2.0
Luque V.,Price N.,1.73,2.08,Luque V.,Submission,2017-10-28,welterweight-ufc-men,23.0
Cerrone D.,Till D.,1.64,2.27,Till D.,Technical Knockout,2017-10-21,welterweight-ufc-men,19.0
Anzai S.,Jumeau L.,3.01,1.39,Anzai S.,Decision,2017-09-23,welterweight-ufc-men,0.0
Abe D.,Lim H. G.,2.03,1.8,Abe D.,Decision,2017-09-22,welterweight-ufc-men,23.5
Perry M.,Reyes A.,1.2,4.59,Perry M.,Knockout,2017-09-17,welterweight-ufc-men,2.0
Magny N.,Dos Anjos R.,2.62,1.48,Dos Anjos R.,Submission,2017-09-10,welterweight-ufc-men,2.0
Edwards L.,Barberena B.,1.37,3.04,Edwards L.,Decision,2017-09-02,welterweight-ufc-men,19.0
Jouban A.,Price N.,1.57,2.41,Price N.,Technical Knockout,2017-08-06,welterweight-ufc-men,2.0
Lawler R.,Cerrone D.,1.61,2.33,Lawler R.,Decision,2017-07-30,welterweight-ufc-men,2.0
Good L.,Zaleski E.,1.59,2.37,Zaleski E.,Decision,2017-07-22,welterweight-ufc-men,22.0
Nelson G.,Ponzinibbio S.,1.55,2.49,Ponzinibbio S.,Knockout,2017-07-16,welterweight-ufc-men,19.0
Ward C.,Bofando G.,2.7,1.48,Bofando G.,Knockout,2017-07-16,welterweight-ufc-men,17.0
Mein J.,Muhammad B.,2.13,1.74,Muhammad B.,Decision,2017-07-09,welterweight-ufc-men,0.0
Lima D.,Taylor J.,2.23,1.66,Taylor J.,Submission,2017-07-08,welterweight-ufc-men,1.0
Krause J.,Gallicchio T.,1.21,4.48,Krause J.,Decision,2017-07-07,welterweight-ufc-men,23.0
Means T.,Garcia A.,1.33,3.44,Means T.,Decision,2017-06-26,welterweight-ufc-men,1.0
Kim D. H.,Covington C.,3.0,1.42,Covington C.,Decision,2017-06-17,welterweight-ufc-men,12.75
Jumeau L.,Steele D.,2.5,1.56,Jumeau L.,Decision,2017-06-11,welterweight-ufc-men,0.0
Medeiros Y.,Silva E.,1.72,2.17,Medeiros Y.,Technical Knockout,2017-06-04,welterweight-ufc-men,2.0
Chagas L.,Wallhead J.,1.37,3.24,Chagas L.,Submission,2017-06-03,welterweight-ufc-men,22.5
Alhassan R.,Akhmedov O.,1.39,3.05,Akhmedov O.,Decision,2017-05-28,welterweight-ufc-men,17.0
Condit C.,Chiesa M.,2.1,1.76,Chiesa M.,Submission,2018-12-30,welterweight-ufc-men,4.0
Millender C.,Bahadurzada S.,1.65,2.24,Millender C.,Decision,2018-12-29,welterweight-ufc-men,23.5
Ottow Z.,Grant D.,3.29,1.34,Ottow Z.,Decision,2018-12-16,welterweight-ufc-men,0.5
Oliveira A.,Nelson G.,2.21,1.68,Nelson G.,Submission,2018-12-09,welterweight-ufc-men,4.0
Laprise C.,Lima D.,1.25,4.03,Lima D.,Knockout,2018-12-09,welterweight-ufc-men,0.5
Matthews J.,Martin A.,1.73,2.13,Martin A.,Submission,2018-12-02,welterweight-ufc-men,4.0
Nakamura K.,Touahri S.,1.58,2.4,Nakamura K.,Decision,2018-12-02,welterweight-ufc-men,0.5
Means T.,Rainey R.,1.26,3.77,Means T.,Technical Knockout,2018-12-01,welterweight-ufc-men,0.0
Jingliang L.,Zawada D.,1.51,2.59,Jingliang L.,Technical Knockout,2018-11-24,welterweight-ufc-men,11.5
Magny N.,Ponzinibbio S.,2.95,1.42,Ponzinibbio S.,Knockout,2018-11-18,welterweight-ufc-men,5.5
Staropoli L.,Aldana H.,1.98,1.89,Staropoli L.,Decision,2018-11-18,welterweight-ufc-men,1.0
Cerrone D.,Perry M.,2.69,1.48,Cerrone D.,Submission,2018-11-11,welterweight-ufc-men,5.0
Good L.,Saunders B.,1.15,5.41,Good L.,Knockout,2018-11-04,welterweight-ufc-men,0.0
Garcia A.,McGee C.,1.42,2.92,McGee C.,Decision,2018-10-28,welterweight-ufc-men,2.0
Luque V.,Turner J.,1.14,5.88,Luque V.,Knockout,2018-10-07,welterweight-ufc-men,1.0
LaFlare R.,Martin A.,1.74,2.11,Martin A.,Knockout,2018-10-06,welterweight-ufc-men,22.5
Oliveira A.,Pedersoli C.,1.21,4.68,Oliveira A.,Technical Knockout,2018-09-23,welterweight-ufc-men,4.0
Zaleski E.,Vendramini L.,1.11,7.04,Zaleski E.,Knockout,2018-09-22,welterweight-ufc-men,22.75
Kunchenko A.,Alves T.,1.2,4.66,Kunchenko A.,Decision,2018-09-15,welterweight-ufc-men,18.0
Woodley T.,Till D.,1.93,1.92,Woodley T.,Submission,2018-09-09,welterweight-ufc-men,4.0
Sanchez D.,White C.,2.73,1.48,Sanchez D.,Decision,2018-09-08,welterweight-ufc-men,23.75
Ellenberger J.,Barberena B.,4.37,1.24,Barberena B.,Technical Knockout,2018-08-26,welterweight-ufc-men,3.0
Gall M.,Sullivan G.,1.3,3.7,Gall M.,Submission,2018-08-26,welterweight-ufc-men,0.0
Mein J.,Morono A.,1.71,2.2,Mein J.,Decision,2018-07-28,welterweight-ufc-men,23.5
Zawada D.,Roberts D.,2.93,1.42,Roberts D.,Decision,2018-07-22,welterweight-ufc-men,18.08
Northcutt S.,Ottow Z.,1.73,2.17,Northcutt S.,Knockout,2018-07-15,welterweight-ufc-men,4.0
Felder P.,Perry M.,1.63,2.36,Perry M.,Decision,2018-07-08,welterweight-ufc-men,3.0
Cerrone D.,Edwards L.,2.89,1.45,Edwards L.,Decision,2018-06-23,welterweight-ufc-men,13.0
Song K.,Aldana H.,1.36,3.28,Song K.,Technical Knockout,2018-06-23,welterweight-ufc-men,9.5
Dos Anjos R.,Covington C.,2.22,1.69,Covington C.,Decision,2018-06-10,welterweight-ufc-men,3.0
Ellenberger J.,Saunders B.,1.56,2.44,Saunders B.,Technical Knockout,2018-06-02,welterweight-ufc-men,3.0
Thompson S.,Till D.,1.66,2.27,Till D.,Decision,2018-05-27,welterweight-ufc-men,19.5
Usman K.,Covington C.,1.49,2.68,Usman K.,Technical Knockout,2019-12-15,welterweight-ufc-men,5.0
Neal G.,Perry M.,1.37,3.14,Neal G.,Technical Knockout,2019-12-15,welterweight-ufc-men,2.5
Condit C.,Gall M.,0.0,0.0,canc.,Cancelled,2019-12-08,welterweight-ufc-men,2.0
Moraes S.,Krause J.,2.6,1.5,Krause J.,Knockout,2019-11-17,welterweight-ufc-men,0.5
Imadaev Z.,Roberts D.,1.44,2.81,Roberts D.,Knockout,2019-11-09,welterweight-ufc-men,20.5
Nurmagomedov A.,Zawada D.,1.3,3.5,Zawada D.,Submission,2019-11-09,welterweight-ufc-men,17.0
Masvidal J.,Diaz N.,1.68,2.22,Masvidal J.,Technical Knockout,2019-11-03,welterweight-ufc-men,4.0
Good L.,Rencountre C.,1.83,1.98,Good L.,Technical Knockout,2019-11-02,welterweight-ufc-men,23.0
Maia D.,Askren B.,2.36,1.62,Maia D.,Submission,2019-10-26,welterweight-ufc-men,14.5
Brady S.,McGee C.,1.53,2.59,Brady S.,Decision,2019-10-18,welterweight-ufc-men,23.0
Vick J.,Price N.,2.25,1.66,Price N.,Knockout,2019-10-13,welterweight-ufc-men,0.5
Griffin M.,Morono A.,1.76,2.05,Morono A.,Decision,2019-10-12,welterweight-ufc-men,23.5
Jumeau L.,Lima D.,2.23,1.68,Lima D.,Decision,2019-10-06,welterweight-ufc-men,2.0
Potter C.,Pitolo M.,3.67,1.29,Potter C.,Decision,2019-10-06,welterweight-ufc-men,0.5
Nelson G.,Alves T.,0.0,0.0,canc.,Cancelled,2019-09-28,welterweight-ufc-men,21.0
Dalby N.,Oliveira A.,2.22,1.69,Dalby N.,Decision,2019-09-28,welterweight-ufc-men,18.0
Pereira M.,Connelly T.,1.18,4.92,Connelly T.,Decision,2019-09-15,welterweight-ufc-men,1.0
Pereira M.,Khandozhko S.,0.0,0.0,canc.,Cancelled,2019-09-14,welterweight-ufc-men,1.0
Muhammad B.,Sato T.,1.26,3.99,Muhammad B.,Submission,2019-09-07,welterweight-ufc-men,15.5
Jingliang L.,Zaleski E.,3.22,1.36,Jingliang L.,Technical Knockout,2019-08-31,welterweight-ufc-men,11.5
Pettis A.,Diaz N.,1.74,2.12,Diaz N.,Decision,2019-08-18,welterweight-ufc-men,3.5
Luque V.,Perry M.,1.43,2.86,Luque V.,Decision,2019-08-11,welterweight-ufc-men,2.0
Burns G.,Kunchenko A.,2.19,1.68,Burns G.,Decision,2019-08-10,welterweight-ufc-men,21.25
da Silva C. H.,Emeev R.,0.0,0.0,canc.,Cancelled,2019-08-04,welterweight-ufc-men,0.0
Covington C.,Lawler R.,1.35,3.29,Covington C.,Decision,2019-08-03,welterweight-ufc-men,21.5
Gall M.,Touahri S.,2.01,1.81,Gall M.,Decision,2019-08-03,welterweight-ufc-men,18.5
Neal G.,Price N.,1.29,3.67,Neal G.,Technical Knockout,2019-07-28,welterweight-ufc-men,3.5
Koch E.,Stewart K.,1.84,2.0,Koch E.,Decision,2019-07-27,welterweight-ufc-men,23.0
Dos Anjos R.,Edwards L.,1.98,1.85,Edwards L.,Decision,2019-07-21,welterweight-ufc-men,3.5
Masvidal J.,Askren B.,2.81,1.45,Masvidal J.,Knockout,2019-07-07,welterweight-ufc-men,3.0
Naurdiev I.,Rencountre C.,1.17,5.12,Rencountre C.,Decision,2019-07-06,welterweight-ufc-men,22.75
Maia D.,Martin A.,1.55,2.49,Maia D.,Decision,2019-06-30,welterweight-ufc-men,2.5
Barberena B.,Ivy A.,1.4,2.96,Barberena B.,Decision,2020-09-12,welterweight-ufc-men,21.5
Pereira M.,Imadaev Z.,1.72,2.12,Pereira M.,Submission,2020-09-06,welterweight-ufc-men,0.5
Lawler R.,Magny N.,2.97,1.4,Magny N.,Decision,2020-08-30,welterweight-ufc-men,2.5
Neal G.,Magny N.,0.0,0.0,canc.,Cancelled,2020-08-29,welterweight-ufc-men,23.0
Grant D.,Rodriguez D.,2.65,1.48,Rodriguez D.,Knockout,2020-08-23,welterweight-ufc-men,0.5
Grant D.,Born C.,0.0,0.0,canc.,Cancelled,2020-08-22,welterweight-ufc-men,23.0
Semelsberger M.,Rowe P.,0.0,0.0,canc.,Cancelled,2020-08-22,welterweight-ufc-men,23.0
Staropoli L.,Imadaev Z.,0.0,0.0,canc.,Cancelled,2020-08-15,welterweight-ufc-men,23.0
Means T.,Staropoli L.,2.24,1.66,Means T.,Decision,2020-08-09,welterweight-ufc-men,0.5
Luque V.,Brown R.,1.51,2.58,Luque V.,Knockout,2020-08-02,welterweight-ufc-men,2.0
Oliveira A.,Sobotta P.,1.74,2.13,Oliveira A.,Decision,2020-07-26,welterweight-ufc-men,0.5
Emeev R.,Rakhmonov S.,0.0,0.0,canc.,Cancelled,2020-07-26,welterweight-ufc-men,0.0
Dalby N.,Ronson J.,1.35,3.21,Ronson J.,Submission,2020-07-25,welterweight-ufc-men,23.0
Alhassan R.,Lazzez M.,1.29,3.66,Lazzez M.,Decision,2020-07-16,welterweight-ufc-men,2.0
Usman K.,Masvidal J.,1.36,3.25,Usman K.,Decision,2020-07-12,welterweight-ufc-men,4.0
Usman K.,Burns G.,0.0,0.0,canc.,Cancelled,2020-07-11,welterweight-ufc-men,23.0
Perry M.,Gall M.,1.31,3.48,Perry M.,Decision,2020-06-28,welterweight-ufc-men,2.0
Sato T.,Witt J.,1.37,3.07,Sato T.,Knockout,2020-06-27,welterweight-ufc-men,23.0
Good L.,Muhammad B.,2.01,1.81,Muhammad B.,Decision,2020-06-21,welterweight-ufc-men,0.5
Aguilera C.,Ivy A.,2.66,1.49,Aguilera C.,Technical Knockout,2020-06-13,welterweight-ufc-men,23.0
Magny N.,Martin A.,1.69,2.18,Magny N.,Decision,2020-06-07,welterweight-ufc-men,2.5
Woodley T.,Burns G.,1.54,2.52,Burns G.,Decision,2020-05-31,welterweight-ufc-men,3.0
Holland K.,Rodriguez D.,0.0,0.0,canc.,Cancelled,2020-05-30,welterweight-ufc-men,21.0
Brown M.,Baeza M.,2.24,1.66,Baeza M.,Knockout,2020-05-17,welterweight-ufc-men,0.5
Cerrone D.,Pettis A.,2.2,1.7,Pettis A.,Decision,2020-05-10,welterweight-ufc-men,1.5
Luque V.,Price N.,1.39,3.09,Luque V.,Technical Knockout,2020-05-09,welterweight-ufc-men,23.5
Martin A.,Zawada D.,0.0,0.0,canc.,Cancelled,2020-04-25,welterweight-ufc-men,21.0
Good L.,Muhammad B.,0.0,0.0,canc.,Cancelled,2020-04-19,welterweight-ufc-men,2.0
Luque V.,Brown R.,1.55,2.42,postp.,Postponed,2020-04-11,welterweight-ufc-men,21.0
Williams C.,Rowe P.,0.0,0.0,postp.,Postponed,2020-04-11,welterweight-ufc-men,21.0
Brown M.,Baeza M.,2.68,1.46,postp.,Postponed,2020-03-28,welterweight-ufc-men,22.0
Rakhmonov S.,Fabinski B.,0.0,0.0,postp.,Postponed,2020-03-21,welterweight-ufc-men,18.0
Woodley T.,Edwards L.,0.0,0.0,postp.,Postponed,2020-03-21,welterweight-ufc-men,18.0
Maia D.,Burns G.,2.26,1.64,Burns G.,Technical Knockout,2020-03-14,welterweight-ufc-men,23.75
Magny N.,Jingliang L.,2.44,1.57,Magny N.,Decision,2020-03-08,welterweight-ufc-men,3.5
